problem,algorithm,model,run,accuracy,partial_score,percent_extra,percent_match_vars,percent_match_constraints,percent_match_objective,compile_error,runtime_error
dlp_equipment_leasing_2,agentic,gpt-3.5-turbo-16k,run1,0.0,40.0,66.67,100.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,agentic,gpt-3.5-turbo,run1,0.0,40.0,66.67,100.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,agentic,gpt-4-turbo,run1,0.0,20.0,80.0,50.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,agentic,gpt-4,run1,0.0,40.0,66.67,100.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,cot_s2,gpt-3.5-turbo-16k,run1,0.0,40.0,33.33,100.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,cot_s2,gpt-3.5-turbo,run1,0.0,40.0,66.67,100.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,cot_s2,gpt-4-turbo,run1,0.0,80.0,33.33,100.0,100.0,0.0,100.0,0.0
dlp_equipment_leasing_2,cot_s2,gpt-4,run1,0.0,100.0,16.67,100.0,100.0,100.0,100.0,0.0
dlp_equipment_leasing_2,cot_s_instructions,gpt-3.5-turbo-16k,run1,0.0,20.0,75.0,50.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,cot_s_instructions,gpt-3.5-turbo,run1,0.0,20.0,75.0,50.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,cot_s_instructions,gpt-4-turbo,run1,0.0,80.0,33.33,100.0,100.0,0.0,100.0,0.0
dlp_equipment_leasing_2,cot_s_instructions,gpt-4,run1,0.0,20.0,80.0,50.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,cot_s,gpt-3.5-turbo-16k,run1,0.0,20.0,75.0,50.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,cot_s,gpt-3.5-turbo,run1,0.0,40.0,66.67,100.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,cot_s,gpt-4-turbo,run1,0.0,80.0,33.33,100.0,50.0,100.0,100.0,0.0
dlp_equipment_leasing_2,cot_s,gpt-4,run1,0.0,80.0,33.33,100.0,50.0,100.0,100.0,0.0
dlp_equipment_leasing_2,standard_s,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,standard_s,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,standard_s,gpt-4-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing_2,standard_s,gpt-4,run1,0.0,20.0,66.67,50.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing,agentic,gpt-3.5-turbo-16k,run1,0.0,40.0,66.67,100.0,0.0,0.0,0.0,100.0
dlp_equipment_leasing,agentic,gpt-3.5-turbo,run1,0.0,40.0,66.67,100.0,0.0,0.0,0.0,100.0
dlp_equipment_leasing,agentic,gpt-4-turbo,run1,0.0,20.0,80.0,50.0,0.0,0.0,0.0,100.0
dlp_equipment_leasing,agentic,gpt-4,run1,0.0,20.0,80.0,50.0,0.0,0.0,0.0,100.0
dlp_equipment_leasing,cot_s2,gpt-3.5-turbo-16k,run1,0.0,40.0,66.67,100.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing,cot_s2,gpt-3.5-turbo,run1,0.0,40.0,66.67,100.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing,cot_s2,gpt-4-turbo,run1,0.0,80.0,33.33,100.0,100.0,0.0,0.0,100.0
dlp_equipment_leasing,cot_s2,gpt-4,run1,0.0,100.0,16.67,100.0,100.0,100.0,0.0,100.0
dlp_equipment_leasing,cot_s_instructions,gpt-3.5-turbo-16k,run1,0.0,40.0,60.0,100.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing,cot_s_instructions,gpt-3.5-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing,cot_s_instructions,gpt-4-turbo,run1,0.0,100.0,16.67,100.0,100.0,100.0,0.0,100.0
dlp_equipment_leasing,cot_s_instructions,gpt-4,run1,0.0,20.0,80.0,50.0,0.0,0.0,0.0,100.0
dlp_equipment_leasing,cot_s,gpt-3.5-turbo-16k,run1,0.0,40.0,60.0,100.0,0.0,0.0,0.0,100.0
dlp_equipment_leasing,cot_s,gpt-3.5-turbo,run1,0.0,40.0,60.0,100.0,0.0,0.0,0.0,100.0
dlp_equipment_leasing,cot_s,gpt-4-turbo,run1,0.0,60.0,50.0,100.0,50.0,0.0,0.0,100.0
dlp_equipment_leasing,cot_s,gpt-4,run1,0.0,100.0,16.67,100.0,100.0,100.0,0.0,100.0
dlp_equipment_leasing,standard_s,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing,standard_s,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing,standard_s,gpt-4-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
dlp_equipment_leasing,standard_s,gpt-4,run1,0.0,20.0,66.67,50.0,0.0,0.0,100.0,0.0
dlp_production_planning_2,agentic,gpt-3.5-turbo-16k,run1,0.0,16.67,80.0,50.0,0.0,0.0,100.0,0.0
dlp_production_planning_2,agentic,gpt-3.5-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
dlp_production_planning_2,agentic,gpt-4-turbo,run1,0.0,83.33,16.67,100.0,66.67,100.0,0.0,100.0
dlp_production_planning_2,agentic,gpt-4,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
dlp_production_planning_2,cot_s2,gpt-3.5-turbo-16k,run1,0.0,33.33,60.0,100.0,0.0,0.0,0.0,100.0
dlp_production_planning_2,cot_s2,gpt-3.5-turbo,run1,0.0,33.33,60.0,100.0,0.0,0.0,0.0,100.0
dlp_production_planning_2,cot_s2,gpt-4-turbo,run1,0.0,33.33,66.67,100.0,0.0,0.0,100.0,0.0
dlp_production_planning_2,cot_s2,gpt-4,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
dlp_production_planning_2,cot_s_instructions,gpt-3.5-turbo-16k,run1,0.0,33.33,60.0,100.0,0.0,0.0,100.0,0.0
dlp_production_planning_2,cot_s_instructions,gpt-3.5-turbo,run1,0.0,33.33,33.33,100.0,0.0,0.0,100.0,0.0
dlp_production_planning_2,cot_s_instructions,gpt-4-turbo,run1,0.0,83.33,16.67,100.0,66.67,100.0,0.0,100.0
dlp_production_planning_2,cot_s_instructions,gpt-4,run1,0.0,33.33,60.0,100.0,0.0,0.0,0.0,100.0
dlp_production_planning_2,cot_s,gpt-3.5-turbo-16k,run1,0.0,33.33,60.0,100.0,0.0,0.0,0.0,100.0
dlp_production_planning_2,cot_s,gpt-3.5-turbo,run1,0.0,16.67,75.0,50.0,0.0,0.0,100.0,0.0
dlp_production_planning_2,cot_s,gpt-4-turbo,run1,0.0,33.33,66.67,100.0,0.0,0.0,100.0,0.0
dlp_production_planning_2,cot_s,gpt-4,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
dlp_production_planning_2,standard_s,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
dlp_production_planning_2,standard_s,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
dlp_production_planning_2,standard_s,gpt-4-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
dlp_production_planning_2,standard_s,gpt-4,run1,0.0,16.67,66.67,50.0,0.0,0.0,100.0,0.0
dlp_production_planning,agentic,gpt-3.5-turbo-16k,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
dlp_production_planning,agentic,gpt-3.5-turbo,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
dlp_production_planning,agentic,gpt-4-turbo,run1,0.0,83.33,16.67,100.0,66.67,100.0,100.0,0.0
dlp_production_planning,agentic,gpt-4,run1,0.0,83.33,0.0,100.0,66.67,100.0,0.0,100.0
dlp_production_planning,cot_s2,gpt-3.5-turbo-16k,run1,0.0,16.67,75.0,50.0,0.0,0.0,100.0,0.0
dlp_production_planning,cot_s2,gpt-3.5-turbo,run1,0.0,16.67,75.0,50.0,0.0,0.0,100.0,0.0
dlp_production_planning,cot_s2,gpt-4-turbo,run1,0.0,33.33,66.67,100.0,0.0,0.0,100.0,0.0
dlp_production_planning,cot_s2,gpt-4,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
dlp_production_planning,cot_s_instructions,gpt-3.5-turbo-16k,run1,0.0,33.33,33.33,100.0,0.0,0.0,100.0,0.0
dlp_production_planning,cot_s_instructions,gpt-3.5-turbo,run1,0.0,33.33,33.33,100.0,0.0,0.0,100.0,0.0
dlp_production_planning,cot_s_instructions,gpt-4-turbo,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
dlp_production_planning,cot_s_instructions,gpt-4,run1,0.0,33.33,60.0,100.0,0.0,0.0,0.0,100.0
dlp_production_planning,cot_s,gpt-3.5-turbo-16k,run1,0.0,33.33,60.0,100.0,0.0,0.0,0.0,100.0
dlp_production_planning,cot_s,gpt-3.5-turbo,run1,0.0,33.33,60.0,100.0,0.0,0.0,100.0,0.0
dlp_production_planning,cot_s,gpt-4-turbo,run1,0.0,33.33,66.67,100.0,0.0,0.0,100.0,0.0
dlp_production_planning,cot_s,gpt-4,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
dlp_production_planning,standard_s,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
dlp_production_planning,standard_s,gpt-3.5-turbo,run1,0.0,16.67,66.67,50.0,0.0,0.0,100.0,0.0
dlp_production_planning,standard_s,gpt-4-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
dlp_production_planning,standard_s,gpt-4,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
electricity_planning_2,agentic,gpt-3.5-turbo-16k,run1,0.0,50.0,57.14,100.0,33.33,0.0,0.0,100.0
electricity_planning_2,agentic,gpt-3.5-turbo,run1,0.0,50.0,57.14,100.0,33.33,0.0,0.0,100.0
electricity_planning_2,agentic,gpt-4-turbo,run1,0.0,66.67,33.33,100.0,66.67,0.0,0.0,100.0
electricity_planning_2,agentic,gpt-4,run1,0.0,66.67,42.86,100.0,66.67,0.0,100.0,0.0
electricity_planning_2,cot_s2,gpt-3.5-turbo-16k,run1,0.0,33.33,60.0,100.0,0.0,0.0,100.0,0.0
electricity_planning_2,cot_s2,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
electricity_planning_2,cot_s2,gpt-4-turbo,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
electricity_planning_2,cot_s2,gpt-4,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
electricity_planning_2,cot_s_instructions,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
electricity_planning_2,cot_s_instructions,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
electricity_planning_2,cot_s_instructions,gpt-4-turbo,run1,0.0,50.0,50.0,100.0,33.33,0.0,100.0,0.0
electricity_planning_2,cot_s_instructions,gpt-4,run1,0.0,50.0,50.0,100.0,33.33,0.0,0.0,100.0
electricity_planning_2,cot_s,gpt-3.5-turbo-16k,run1,0.0,33.33,60.0,100.0,0.0,0.0,100.0,0.0
electricity_planning_2,cot_s,gpt-3.5-turbo,run1,0.0,33.33,60.0,100.0,0.0,0.0,0.0,100.0
electricity_planning_2,cot_s,gpt-4-turbo,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
electricity_planning_2,cot_s,gpt-4,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
electricity_planning_2,standard_s,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
electricity_planning_2,standard_s,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
electricity_planning_2,standard_s,gpt-4-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
electricity_planning_2,standard_s,gpt-4,run1,0.0,16.67,66.67,50.0,0.0,0.0,100.0,0.0
electricity_planning,agentic,gpt-3.5-turbo-16k,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
electricity_planning,agentic,gpt-3.5-turbo,run1,0.0,16.67,80.0,50.0,0.0,0.0,0.0,100.0
electricity_planning,agentic,gpt-4-turbo,run1,0.0,66.67,20.0,100.0,66.67,0.0,100.0,0.0
electricity_planning,agentic,gpt-4,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
electricity_planning,cot_s2,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
electricity_planning,cot_s2,gpt-3.5-turbo,run1,0.0,33.33,60.0,100.0,0.0,0.0,100.0,0.0
electricity_planning,cot_s2,gpt-4-turbo,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
electricity_planning,cot_s2,gpt-4,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
electricity_planning,cot_s_instructions,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
electricity_planning,cot_s_instructions,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
electricity_planning,cot_s_instructions,gpt-4-turbo,run1,0.0,83.33,16.67,100.0,100.0,0.0,100.0,0.0
electricity_planning,cot_s_instructions,gpt-4,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
electricity_planning,cot_s,gpt-3.5-turbo-16k,run1,0.0,33.33,60.0,100.0,0.0,0.0,100.0,0.0
electricity_planning,cot_s,gpt-3.5-turbo,run1,0.0,33.33,60.0,100.0,0.0,0.0,100.0,0.0
electricity_planning,cot_s,gpt-4-turbo,run1,0.0,16.67,80.0,50.0,0.0,0.0,0.0,100.0
electricity_planning,cot_s,gpt-4,run1,0.0,33.33,66.67,100.0,0.0,0.0,0.0,100.0
electricity_planning,standard_s,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
electricity_planning,standard_s,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
electricity_planning,standard_s,gpt-4-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
electricity_planning,standard_s,gpt-4,run1,0.0,16.67,66.67,50.0,0.0,0.0,100.0,0.0
indi_cold_storage_2,agentic,gpt-3.5-turbo-16k,run1,0.0,16.67,80.0,50.0,0.0,0.0,0.0,100.0
indi_cold_storage_2,agentic,gpt-3.5-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
indi_cold_storage_2,agentic,gpt-4-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
indi_cold_storage_2,agentic,gpt-4,run1,0.0,16.67,66.67,50.0,0.0,0.0,100.0,0.0
indi_cold_storage_2,cot_s2,gpt-3.5-turbo-16k,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage_2,cot_s2,gpt-3.5-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage_2,cot_s2,gpt-4-turbo,run1,0.0,33.33,71.43,100.0,0.0,0.0,0.0,100.0
indi_cold_storage_2,cot_s2,gpt-4,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage_2,cot_s_instructions,gpt-3.5-turbo-16k,run1,0.0,50.0,62.5,100.0,0.0,100.0,100.0,0.0
indi_cold_storage_2,cot_s_instructions,gpt-3.5-turbo,run1,0.0,33.33,60.0,100.0,0.0,0.0,100.0,0.0
indi_cold_storage_2,cot_s_instructions,gpt-4-turbo,run1,0.0,33.33,71.43,100.0,0.0,0.0,0.0,100.0
indi_cold_storage_2,cot_s_instructions,gpt-4,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage_2,cot_s,gpt-3.5-turbo-16k,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage_2,cot_s,gpt-3.5-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage_2,cot_s,gpt-4-turbo,run1,0.0,33.33,71.43,100.0,0.0,0.0,0.0,100.0
indi_cold_storage_2,cot_s,gpt-4,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage_2,standard_s,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
indi_cold_storage_2,standard_s,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
indi_cold_storage_2,standard_s,gpt-4-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
indi_cold_storage_2,standard_s,gpt-4,run1,0.0,16.67,66.67,50.0,0.0,0.0,100.0,0.0
indi_cold_storage,agentic,gpt-3.5-turbo-16k,run1,0.0,16.67,75.0,50.0,0.0,0.0,0.0,100.0
indi_cold_storage,agentic,gpt-3.5-turbo,run1,0.0,16.67,75.0,50.0,0.0,0.0,0.0,100.0
indi_cold_storage,agentic,gpt-4-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage,agentic,gpt-4,run1,0.0,16.67,66.67,50.0,0.0,0.0,0.0,100.0
indi_cold_storage,cot_s2,gpt-3.5-turbo-16k,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage,cot_s2,gpt-3.5-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage,cot_s2,gpt-4-turbo,run1,0.0,33.33,71.43,100.0,0.0,0.0,0.0,100.0
indi_cold_storage,cot_s2,gpt-4,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage,cot_s_instructions,gpt-3.5-turbo-16k,run1,0.0,50.0,40.0,100.0,0.0,100.0,100.0,0.0
indi_cold_storage,cot_s_instructions,gpt-3.5-turbo,run1,0.0,33.33,66.67,100.0,0.0,0.0,100.0,0.0
indi_cold_storage,cot_s_instructions,gpt-4-turbo,run1,0.0,33.33,71.43,100.0,0.0,0.0,0.0,100.0
indi_cold_storage,cot_s_instructions,gpt-4,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage,cot_s,gpt-3.5-turbo-16k,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage,cot_s,gpt-3.5-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage,cot_s,gpt-4-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
indi_cold_storage,cot_s,gpt-4,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_cold_storage,standard_s,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
indi_cold_storage,standard_s,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
indi_cold_storage,standard_s,gpt-4-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
indi_cold_storage,standard_s,gpt-4,run1,0.0,16.67,66.67,50.0,0.0,0.0,100.0,0.0
indi_supply_allocation_2,agentic,gpt-3.5-turbo-16k,run1,0.0,16.67,80.0,50.0,0.0,0.0,0.0,100.0
indi_supply_allocation_2,agentic,gpt-3.5-turbo,run1,0.0,16.67,80.0,50.0,0.0,0.0,0.0,100.0
indi_supply_allocation_2,agentic,gpt-4-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
indi_supply_allocation_2,agentic,gpt-4,run1,,,,,,,,
indi_supply_allocation_2,cot_s2,gpt-3.5-turbo-16k,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
indi_supply_allocation_2,cot_s2,gpt-3.5-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_supply_allocation_2,cot_s2,gpt-4-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_supply_allocation_2,cot_s2,gpt-4,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_supply_allocation_2,cot_s_instructions,gpt-3.5-turbo-16k,run1,0.0,16.67,66.67,50.0,0.0,0.0,100.0,0.0
indi_supply_allocation_2,cot_s_instructions,gpt-3.5-turbo,run1,0.0,16.67,75.0,50.0,0.0,0.0,100.0,0.0
indi_supply_allocation_2,cot_s_instructions,gpt-4-turbo,run1,0.0,33.33,71.43,100.0,0.0,0.0,0.0,100.0
indi_supply_allocation_2,cot_s_instructions,gpt-4,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_supply_allocation_2,cot_s,gpt-3.5-turbo-16k,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
indi_supply_allocation_2,cot_s,gpt-3.5-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
indi_supply_allocation_2,cot_s,gpt-4-turbo,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
indi_supply_allocation_2,cot_s,gpt-4,run1,0.0,16.67,66.67,50.0,0.0,0.0,0.0,100.0
indi_supply_allocation_2,standard_s,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
indi_supply_allocation_2,standard_s,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
indi_supply_allocation_2,standard_s,gpt-4-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
indi_supply_allocation_2,standard_s,gpt-4,run1,0.0,16.67,66.67,50.0,0.0,0.0,100.0,0.0
indi_supply_allocation,agentic,gpt-3.5-turbo-16k,run1,0.0,50.0,57.14,100.0,33.33,0.0,0.0,100.0
